-7.19,3.48,1.51
-5.63,1.45,2.15
-4.00,1.38,2.08
-4.69,1.33,2.02
-5.69,3.24,1.24
-6.59,3.35,1.46
-4.39,1.26,1.96
-5.52,3.19,1.18
-5.30,1.40,2.11
-6.81,3.40,1.50
-7.35,3.48,1.50
-6.11,3.27,1.35
-6.00,3.45,1.52
-6.26,1.64,2.28
-4.10,1.18,1.91
-6.34,3.30,1.40
-3.78,1.11,1.85
-5.30,3.12,1.12
-6.72,2.01,2.33
-2.58,0.89,1.70
-7.49,3.48,1.51
-6.93,2.24,2.30
-5.96,1.53,2.22
-5.07,3.03,1.05
-2.36,0.86,1.69
-3.09,0.97,1.70
-2.82,0.92,1.69
-4.86,2.94,0.97
-2.13,0.81,1.66
-7.17,2.44,2.24
-4.16,2.68,0.75
-7.41,2.62,2.17
-7.58,3.45,1.62
-4.47,2.79,0.87
-1.68,0.61,1.55
-7.59,2.82,2.08
-7.68,3.35,1.77
-1.89,0.72,1.61
-1.22,0.33,1.43
-0.76,0.14,1.36
-4.66,2.86,0.90
-3.37,1.56,0.06
